tickers
AETI
AREX
ARLP
AXAS
BKEP
BKEPP
BLDP
CCLP
CLMT
CPST
CRZO
DMLP
DWSN
ESES
FANG
GPOR
HNRG
HOLI
IPWR
ISRL
LGCY
LLEX
MARPS
MCEP
MGEE
MMLP
PDCE
PFIE
PLUG
PNRG
PSIX
PTEN
RCON
SAEX
TELL
TGA
TRCH
USEG
VNOM
VTNR
WPRT
WWD
ZN
